Date,Series1,Series2,,
1/25/2010,203.07,10,99.85916482,20
1/26/2010,205.94,10,99.85916482,20
1/27/2010,207.88,10,53.54853662,20
1/28/2010,199.29,10,50.38931979,20
1/29/2010,192.06,10,33.92459057,20
2/1/2010,194.73,10,-67.42419553,20
2/2/2010,195.86,10,-67.42419553,20
2/3/2010,199.23,10,-67.42419553,20
2/4/2010,192.05,10,-67.42419553,20
2/16/2010,203.4,10,-79.63038077,20
2/17/2010,202.55,10,9.349005694,20
2/18/2010,202.93,10,9.349005694,20
2/19/2010,201.67,10,9.349005694,20
2/26/2010,204.62,10,-93.40344814,20
3/1/2010,208.99,10,-19.4720015,20
3/2/2010,208.85,10,17.49372182,20
3/3/2010,209.33,10,17.49372182,20
3/4/2010,210.71,10,15.31813868,20
3/5/2010,218.95,10,92.8681736,20
3/24/2010,229.37,10,63.50226105,20
3/25/2010,226.65,10,63.50226105,20
3/26/2010,230.9,10,63.50226105,20
3/29/2010,232.39,10,-89.91735097,20
3/30/2010,235.85,10,-89.91735097,20
3/31/2010,235,10,-16.45728062,20
4/1/2010,235.97,10,22.24801808,20
4/5/2010,238.49,10,35.3030098,20
4/6/2010,239.54,10,38.50139401,20
4/7/2010,240.6,10,46.10614297,20
4/8/2010,239.95,10,38.18558515,20
4/9/2010,241.79,10,53.1264336,20
4/12/2010,242.29,10,95.77585266,20
4/13/2010,242.43,10,95.94523817,20
4/14/2010,245.69,10,95.14017376,20
4/15/2010,248.92,10,96.54106398,20
4/16/2010,247.4,10,96.64576362,20
4/19/2010,247.07,10,-0.75639012,20
4/20/2010,244.59,10,-9.25530453,20
4/21/2010,259.22,10,13.25077376,20
4/22/2010,266.47,10,49.27565819,20
4/23/2010,270.83,10,48.76261107,20
4/27/2010,262.04,10,71.62308152,20
4/28/2010,261.6,10,-8.560243543,20
4/29/2010,268.64,10,-8.560243543,20
4/30/2010,261.09,10,-8.560243543,20
5/3/2010,266.35,10,95.43832028,20
5/4/2010,258.68,10,95.43832028,20
5/5/2010,255.99,10,95.43832028,20
5/6/2010,246.25,10,95.43832028,20
5/7/2010,235.86,10,-55.25513446,20
5/10/2010,253.99,10,-2.954129708,20
5/11/2010,256.52,10,10.12112148,20
5/12/2010,262.09,10,-19.82143632,20
5/13/2010,258.36,10,15.27175262,20
5/18/2010,252.36,10,97.83362496,20
5/19/2010,248.34,10,75.7209472,20
5/20/2010,237.76,10,79.1569669,20
5/21/2010,242.32,10,79.1569669,20
5/24/2010,246.76,10,89.93126128,20
5/25/2010,245.22,10,89.93126128,20
5/26/2010,244.11,10,12.11633185,20
5/27/2010,253.35,10,8.484216236,20
5/28/2010,256.88,10,0.233699874,20
6/1/2010,260.83,10,68.56927842,20
6/2/2010,263.95,10,66.06971475,20
6/3/2010,263.12,10,53.3374334,20
6/4/2010,255.96,10,-23.69744787,20
